,occured,reported,posted,location,text
0,5/6/2017 05:00,5/6/2017 4:10:01 AM 04:10,5/6/2017,"Camp McGregor, NM",Light seen over mountain's east of Camp McGregor.  It hovered in one spot.  It looked like a helicopter light at first.  But it was way to bright.  Then it went to a higher height.  Stayed there for a while.  Then disappeared.((NUFORC Note:  Report appears to us to be consistent with the sighting of Venus.  PD))
1,5/6/2017 04:50,5/6/2017 5:00:54 AM 05:00,5/6/2017,"Mojave (Canada), BC","Light in sky stationary.  Not a airplane or any known star.  Flickering in brightness.((NUFORC Note:  Possibly Venus.  Source of the report elects to remain anonymous; provides no contact information.  We could not find a city named ""Mojave"" in BC, Canada.  PD))"
2,5/5/2017 11:30,5/5/2017 12:18:44 PM 12:18,5/6/2017,"Austin, TX","Flying saucer descends, possibly lands in North Austin nature trailAt approximately 11:30 AM I was on the balcony of my apartment when I saw a flying object descending in the sky very rapidly.  It traveled from west to east over Walnut Creek where it appeared to land on the trail.  It definitely went below the tree line.This was near Brentwood Christian School on North Lamar.The craft was about 150m from my apartment, approximately 100 feet in the air and looked like it could have had a diameter of maybe 50 feet, but I didn't see the top of it clearly.It was shaped like an upside-down saucer and it had a clearly metallic surface, like brushed aluminum.  It wasn't wobbling or tumbling or anything like that, just a very smooth controlled descent.I heard no sound at all.  I would not have noticed this object if I hadn't already been looking directly at the sky.Choosing to remain anonymous unless other people come forward with having seen something.((NUFORC Note:  We would like to communicate with this witness, and we would like to have the witness contact the local news media, in order to encourage other witnesses to come forward.  PD))"
3,5/5/2017 03:00,5/5/2017 3:49:05 AM 03:49,5/6/2017,"El Mirage, AZ","While letting my dog out, a very bright white circle of light appeared suddenly in the sky.  It seemed very low like small plane or helicopter height, but was brighter than anything I have seen before.  It almost immediately began moving rapidly in a straight northeast direction, never diminishing in size or brightness but with a bright orange ""tail"" trailing it and passing directly over my house.  It seemed to be decending, dropping out of view over the roof but was gone by the time I ran to the other side of the house."
4,5/4/2017 23:34,5/4/2017 10:38:52 PM 22:38,5/6/2017,"York, NE","A fire ball was moving in the atmosphere while stopping, going, and even changing directions.11:17 p.m CST. (The before situation) This is when I first snuck outside to go stargazing for a while. When I first came outside I began to watch the stars and relax as the last day of school for me is the 5th of May 2017. I see the usual things such as a few shooting stars, twinkling of the stars, and just normal stuff one would see in the night sky. Minutes pass by as my friend and I were talking about the what Earth would look like from space.11:34 p.m CST.(The Sighting itself) Now at this time I was just glancing around in the sky when I first saw it and pointed it out to my friend. It looked like a meteor at first from a very far distance. This was in the East/South sky, about 75-80 degrees. It was such a bright flash of light compared to other stars and it didn't just go away. For a minute I thought it was just another planet. Then thoughts crossed my mind if it was a man made satellite. It couldn’t have been however. It was moving different directions. First traveling towards the South sky. Then it began crossing in a back and forth motion. It would occasionally stop for a minute or two. Then it would go back up and move in this back and forth motion.At this point I stood up knowing it was not man made, as my friend tracked it, I ran quickly grabbed my high powered laser pointer (10 Mile radius Class 4 green colored) my friend pointed it out and we shone it to see if there would be reaction from it. It did seem to react which was very interesting meaning it must have spotted this light, at least a very low power of it. As soon as i shone at this light, it stopped and stood still. It didn't move for at least 5 minutes. It moved again and I shone at it again. The craft stopped again. By this point my friend and I ran inside and changed and began looking up who records these sightings.11:48 p.m CST.  (The call in)  After seeing this I began looking for somebody who would take in this sighting.  I googled exactly where to report and immediately called the hotline.11:50 p.m CST.I told the man at first how i swear it was not a prank call.  I forgot his name (I asked at the end and completely forgot) I explained it as “A fireball"" looking thing that switched directions in the sky”  It was in more words but if I were not so panicky of giving a 15 second detail it would've sounded better.  He told me to make a report on what me and my friend saw and in a way he could describe it.  Therefore, I made this report in order to show that a sighting is just a matter of paying attention.12:09 a.m CST.I began writing the report and finally finished at 12:30 a.m . Thank you for taking note of my findings."
5,5/4/2017 23:25,5/6/2017 9:36:40 AM 09:36,5/6/2017,"Onchiota, NY","craft following above carI saw a light reflection on my windshield, thought it was from dash, but driving on for a minute, realized that it could not be.  I decided to look up and nothing, then decided to lean forward and look up and saw a ufo above my car with red, blue, green and white lights (bright in nature).  After looking up at it, it moved to my left above tree line, parallel to me at same speed as I was going.  At that time I opened my window and there was no noise from craft.  The road curved, it followed a straight line and I lost sight of it."
6,5/4/2017 23:00,5/5/2017 11:42:29 AM 11:42,5/6/2017,"Lawrence, KS","helicopter chasing orange light at low altitudeI was in my room in my apartment watching Dave Chappelle on Netflix, when I heard a helicopter overhead.  It sounded very low and powerful, so I figured it had to be military, and I-being a total nerd-had to run out to the parking lot to get a look.By the time I was out my door and in the parking lot, I had just enough time to watch a small orange ball of light being chased by what I assume to be a Blackhawk helicopter (because of size and sound) disappear behind the rooftops of the buildings east of me.    This struck me as bizarre because I saw something similar some months ago in the same general area (skies south of Lawrence, I live on the south side of town, not far from Baker Wetlands).  The light was small and orange in color and was about 50-100 yards ahead of the helicopter.  It made no erratic movements but was travelling at a fair clip as the helicopter was tracking it at almost the exact speed and it was moving pretty quickly.  As such, I have my doubts that this could've been a paper lantern (though the color and intensity of the light were similar to one) and the distance ahead of the helicopter rules out a refueling boom.  I'd give the altitude of the two objects to be between 500-1000 ft agl and the speed! of both to be about 100 kts at the time I saw them.Also of note, I saw another object in the sky in the general area at the same time, though it may not have been connected.  This object seemed to be an aircraft judging by the red and white lights it had on it, but it hovered in place for a moment until the lights slowly faded out with no apparent change in location.  The direction I was looking toward would be about a straight line to KCI, so I wasn't immediately suspicious, but--having seen plenty of air traffic heading to and from KCI on that flight path--this didn't look like anything I'd seen before (no landing lights).  I mention this because it was odd and because the previous sighting of a few months earlier of the same kind of event had 2 helicopters chasing the light instead of just one.  Maybe this was the second."
7,5/4/2017 21:27,5/4/2017 9:37:37 PM 21:37,5/6/2017,"Phoenix, AZ","Orange round sphere.Orange glowing sphere flew across the sky at speeds comparable to an aircraft but close enough to see it was round.  Did not shift speed or direction with wind currents.((NUFORC Note:  We have amended the time above, to reflect a nighttime sighting.  However, the witness provides no contact information, so we are unable to verify that the time is correct.  PD))"
8,5/4/2017 20:25,5/5/2017 8:58:24 AM 08:58,5/6/2017,"Houston, TX","Was standing outside in downtown houston at 8:25pm right before sunset on May 4, 2017.First noticed a blue-green light in the sky.  Small about the size of a pin point.  I thought it was a commercial plan but then it moved fast and then just stopped in the sky.  I saw the other end of it and it was fire orange like some type of vent.  It at times moved in the direction the vent was pointing.  Oposite of what normal craft do.  This object moved so smoothly across the sky at fast speeds, slowing down, stopping, changing direction and angle effortlessly.  It was taller from top to bottom than it was wide, no wings.  The best was to describe is it was like a fly just smoothly making all the changes in flight pattern.  I saw a commercial air craft in between me and it and could judge distances from sizes of plane and it.  Hair stood up on my neck and I was very scared for the first min when I realized this is not normal and nothing I have ever seen before.  And then a peaceful calm came over me and I just took in what I was seeing for next 30 sec.  I did not have my phone on me and did not want to leave to go get it.  For a second, I looked next to me to see if anyone else saw I looked back and it was completely gone except for some shiny particles specs of light that disappeared also in a second.  Amazing....!!!!!!!"
9,5/4/2017 18:30,5/4/2017 8:12:04 PM 20:12,5/6/2017,"Phoenix, AZ","Flying corkscrewsLooking to th east at about 2:00, I saw what I thought were to large birds moving south to north one behind the other.  They were to high to be birds (pterodactyls came to mind), so I went inside to get my binoculars.  What I saw was a cone shape but with a corkscrew row of lights that spun in a clockwise fashion as to propel the craft.  They were dark except for the lights.((NUFORC Note:  Source of the report elects to remain anonymous; provides no contact information.  PD))"
