id,created_at,text
847958571895619584,2017-03-31 23:47:32,b'@BadAstronomer We can def bring it back like Dragon. Just a question of how much weight we need to add.'
847890916048338946,2017-03-31 19:18:42,b'@tesla_addict @TeslaMotors Working on it'
847884776719740928,2017-03-31 18:54:18,"b""@jasonlamb Looks like it could do 20% more with some structural upgrades to handle higher loads. But that's in fully expendable mode."""
847884413706874880,2017-03-31 18:52:51,b'@cheron A lot'
847884351375372288,2017-03-31 18:52:36,b'@Cardoso Silliest thing we can imagine! Secret payload of 1st Dragon flight was a giant wheel of cheese. Inspired b\xe2\x80\xa6 https://t.co/68nMJkiPsC'
847883435100299267,2017-03-31 18:48:58,"b'@redletterdave Good point, odds go from 0% to &gt;0% :)'"
847882909906341888,2017-03-31 18:46:53,b'Falcon Heavy test flight currently scheduled for late summer'
847882289581359104,2017-03-31 18:44:25,"b'Considering trying to bring upper stage back on Falcon Heavy demo flight for full reusability. Odds of success low, but maybe worth a shot.'"
847881536254955521,2017-03-31 18:41:25,b'@oxfordteddy Browser is already a little better. Kernel and browser update in prob 6 weeks or so (lots of underlyin\xe2\x80\xa6 https://t.co/XtgQGwJ21D'
847610880506208257,2017-03-31 00:45:56,b'RT @SpaceX: More photos from today\xe2\x80\x99s Falcon 9 launch and first stage landing \xe2\x86\x92 https://t.co/095WHX44BX https://t.co/c3UYhMrDec'
847608431582208000,2017-03-31 00:36:12,b'@BadAstronomer @SpaceX Thanks Phil!'
847594208219336705,2017-03-30 23:39:41,b'Incredibly proud of the SpaceX team for achieving this milestone in space! Next goal is reflight within 24 hours.'
847580067446345728,2017-03-30 22:43:30,b'RT @SpaceX: Falcon 9 first stage has landed on Of Course I Still Love You \xe2\x80\x94 world\xe2\x80\x99s first reflight of an orbital class rocket.'
847561780532523008,2017-03-30 21:30:50,b'RT @SpaceX: ~60 minutes until launch window for SES-10 opens. All systems and weather are go. Watch here \xe2\x86\x92 https://t.co/gtC39uBC7z https://\xe2\x80\xa6'
847510437054877698,2017-03-30 18:06:48,"b'RT @SpaceX: Falcon 9 and SES-10 vertical on Kennedy Space Center\xe2\x80\x99s historic Pad 39A. Launch window opens at 6:27pm EDT, 10:27pm UTC. https:\xe2\x80\xa6'"
847259545755820033,2017-03-30 01:29:51,b'Made today on Tesla sketch pad https://t.co/Z8dFP2NN41'
847234747747020800,2017-03-29 23:51:19,"b'If you just downloaded V8.1, tap the the T on center screen three times'"
847178475970547712,2017-03-29 20:07:43,"b'@drmanejwala @arctechinc On center screen. Also, center screen *will* show speed as an overlay that changes opacity according to relevance.'"
846772378067648513,2017-03-28 17:14:01,b'@danahull Very few. We have yet to do a China (or Europe) launch of Model 3.'
846770102502473728,2017-03-28 17:04:59,b'@business Glad to have Tencent as an investor and advisor to Tesla'
846768497904369664,2017-03-28 16:58:36,b'@nickg_uk @chouky02 No'
846768171486855169,2017-03-28 16:57:18,"b""@nickg_uk @chouky02 You won't care"""
846668569576259584,2017-03-28 10:21:31,b'@NakatomiTim What gave me away?'
846668345998925826,2017-03-28 10:20:38,b'@nickg_uk No'
846667837716410368,2017-03-28 10:18:37,b'Here is the latest SpaceX travel ad for the flight around the moon &amp; into deep space. Maybe needs a few edits ... https://t.co/mA8ZgutrbE'
846580443797368832,2017-03-28 04:31:21,"b'Long Neuralink piece coming out on @waitbutwhy in about a week. Difficult to dedicate the time, but existential risk is too high not to.'"
845447146111303681,2017-03-25 01:28:01,"b""RT @OpenAI: New research release: overcoming many of Reinforcement Learning's limitations with Evolution Strategies: https://t.co/fVIStOFdoU"""
845403535353143299,2017-03-24 22:34:44,b'@erikhaaland We cannot make all country versions simultaneously or the production start would be a disaster. You would get first in Norway.'
845402066629517312,2017-03-24 22:28:54,b'@Isabelle_Kent Yes'
845370779298521088,2017-03-24 20:24:34,b'@D1sneyNut Yes'
845355766357737472,2017-03-24 19:24:55,b'@nickbaum I believe so'
845337811876114432,2017-03-24 18:13:34,b'@nddugan Yup'
845331893176324096,2017-03-24 17:50:03,b'@Mr_Ewe_Guy Oh so little faith'
845325721455149056,2017-03-24 17:25:32,b'@kryniog The shorter wheelbase only allows for a 75 kWh pack in Model 3 at current cell/module energy densities'
845294849049870337,2017-03-24 15:22:51,"b'RT @PokerVixen: @elonmusk I\'m so unbelievably happy with my Model S. When people ask if l like it I respond ""No, I love it! \xf0\x9f\x98\x8d it\'s amazing!\xe2\x80\xa6'"
845294411072204801,2017-03-24 15:21:07,"b'RT @RH_Way: @elonmusk Our 85 hit the guardrails at well over 160km/h. Tessi absorbed impact, wife and baby are ok. Best car ever &amp; Member o\xe2\x80\xa6'"
845294161125269505,2017-03-24 15:20:07,b'@ToddGerkens Yeah'
845293825715154945,2017-03-24 15:18:47,b'@HolsMichael Start taking orders in April'
845293157977767937,2017-03-24 15:16:08,"b'@dr_angus Yeah, probably a year from now. S will still win on acceleration though, due to having more space for a larger battery.'"
845292886623109120,2017-03-24 15:15:03,"b'RT @morrisonbrett: @elonmusk First batch Model S P85D for me, Grey. Signature Model X P90D for wife, Triple White. Best vehicles in the wor\xe2\x80\xa6'"
845292269649354752,2017-03-24 15:12:36,"b'@akaWrecks @ckalapala Only Model S will have the seven seater option, more cargo space, plus higher range, accelera\xe2\x80\xa6 https://t.co/3wucaZRkZa'"
845291692206960641,2017-03-24 15:10:18,b'RT @arctechinc: @elonmusk we believe so much in Tesla and its goals we have a 100D Model S and 90D Model X and love both. Thank you! https:\xe2\x80\xa6'
845291536480813056,2017-03-24 15:09:41,b'@CamKode The Model S produced today is arguably version 4. Let me put it this way: it is the car I will keep drivin\xe2\x80\xa6 https://t.co/xAxvz9TxpA'
845291064583892992,2017-03-24 15:07:49,"b""RT @Herifin_teki: @elonmusk My lil monster Tesla Model X is the best car I've ever used. Thank you Elon. \xe2\x9d\xa4\xef\xb8\x8f"""
845290713776451584,2017-03-24 15:06:25,"b'@BlueBowles If fate is on our side, it will be amazing. Will talk about that in detail next week.'"
845290493130919936,2017-03-24 15:05:32,b'@juanmlemao No problem :)'
845290417591541760,2017-03-24 15:05:14,"b'@DJBurges Should be summer next year. Sorry, really wish we could get RHD done sooner. We truly are working as fast as we can.'"
845289977051148289,2017-03-24 15:03:29,b'@faultywarrior @matt_trulli @FredericLambert @TimShelton @JimPengelly Let me just go fetch my magic wand ...'
